num_date_time,answer
1_20220825 00,1733.6079
1_20220825 01,1782.7115
1_20220825 02,1738.2305
1_20220825 03,1683.544
1_20220825 04,1596.7749
1_20220825 05,1589.6958
1_20220825 06,1827.7706
1_20220825 07,2146.8074
1_20220825 08,2884.9504
1_20220825 09,3255.6758
1_20220825 10,3838.89
1_20220825 11,3860.7834
1_20220825 12,3871.5784
1_20220825 13,3878.3054
1_20220825 14,3872.6465
1_20220825 15,3782.4927
1_20220825 16,3863.9019
1_20220825 17,3471.4177
1_20220825 18,2904.0286
1_20220825 19,2698.2505
1_20220825 20,2544.5813
1_20220825 21,1974.6393
1_20220825 22,1623.9387
1_20220825 23,1527.0068
1_20220826 00,1687.7091
1_20220826 01,1621.9954
1_20220826 02,1577.5143
1_20220826 03,1574.2686
1_20220826 04,1574.2686
1_20220826 05,1567.1895
1_20220826 06,1805.2643
1_20220826 07,2128.174
1_20220826 08,2733.468
1_20220826 09,3253.163
1_20220826 10,3825.5818
1_20220826 11,3880.8132
1_20220826 12,3968.9758
1_20220826 13,3985.783
1_20220826 14,4009.4907
1_20220826 15,4028.5212
1_20220826 16,4019.7766
1_20220826 17,3586.987
1_20220826 18,2925.7922
1_20220826 19,2692.3828
1_20220826 20,2595.3296
1_20220826 21,2044.113
1_20220826 22,1693.4124
1_20220826 23,1596.4805
1_20220827 00,1831.814
1_20220827 01,1880.9176
1_20220827 02,1653.8923
1_20220827 03,1650.6466
1_20220827 04,1650.6466
1_20220827 05,1648.4463
1_20220827 06,1904.0298
1_20220827 07,2212.948
1_20220827 08,2762.882
1_20220827 09,3143.447
1_20220827 10,3781.3584
1_20220827 11,3892.0977
1_20220827 12,3960.5137
1_20220827 13,3967.2407
1_20220827 14,3850.066
1_20220827 15,3893.4202
1_20220827 16,3900.1177
1_20220827 17,3469.0894
1_20220827 18,2896.723
1_20220827 19,2846.0647
1_20220827 20,2617.8071
1_20220827 21,2057.7227
1_20220827 22,1660.5511
1_20220827 23,1563.6193
1_20220828 00,1715.7297
1_20220828 01,1673.0602
1_20220828 02,1628.5791
1_20220828 03,1631.6924
1_20220828 04,1617.0436
1_20220828 05,1625.9844
1_20220828 06,1881.5679
1_20220828 07,2189.134
1_20220828 08,2744.9058
1_20220828 09,3180.168
1_20220828 10,3922.7393
1_20220828 11,3914.0627
1_20220828 12,3930.337
1_20220828 13,4024.1782
1_20220828 14,4016.6133
1_20220828 15,4059.0144
1_20220828 16,4069.3003
1_20220828 17,3745.4795
1_20220828 18,3063.27
1_20220828 19,2833.0415
1_20220828 20,2665.714
1_20220828 21,2111.7334
1_20220828 22,1761.0327
1_20220828 23,1664.1008
1_20220829 00,1826.4208
1_20220829 01,1883.7904
1_20220829 02,1839.3093
1_20220829 03,1763.4755
1_20220829 04,1676.7064
1_20220829 05,1681.843
1_20220829 06,1901.3489
1_20220829 07,2203.908
1_20220829 08,2760.2012
1_20220829 09,3143.817
1_20220829 10,3718.4739
1_20220829 11,3735.857
1_20220829 12,3735.857
1_20220829 13,3795.3118
1_20220829 14,3785.0283
1_20220829 15,3888.9111
1_20220829 16,3779.969
1_20220829 17,3374.3103
1_20220829 18,2910.8708
1_20220829 19,2774.4478
1_20220829 20,2551.0327
1_20220829 21,1981.0906
1_20220829 22,1660.9211
1_20220829 23,1563.9893
1_20220830 00,1724.8066
1_20220830 01,1689.474
1_20220830 02,1644.9929
1_20220830 03,1634.4103
1_20220830 04,1634.4103
1_20220830 05,1610.621
1_20220830 06,1848.6958
1_20220830 07,1921.0248
1_20220830 08,2477.3176
1_20220830 09,2860.9333
1_20220830 10,3435.5908
1_20220830 11,3456.2043
1_20220830 12,3456.2043
1_20220830 13,3445.8176
1_20220830 14,3435.5342
1_20220830 15,3439.6406
1_20220830 16,3434.5813
1_20220830 17,3042.097
1_20220830 18,2830.058
1_20220830 19,2699.2507
1_20220830 20,2565.9954
1_20220830 21,1996.0538
1_20220830 22,1675.8844
1_20220830 23,1578.9525
1_20220831 00,1724.8066
1_20220831 01,1689.474
1_20220831 02,1644.9929
1_20220831 03,1641.7472
1_20220831 04,1641.7472
1_20220831 05,1617.9579
1_20220831 06,1856.0327
1_20220831 07,1928.3617
1_20220831 08,2484.6545
1_20220831 09,2868.2703
1_20220831 10,3506.1821
1_20220831 11,3689.962
1_20220831 12,3689.962
1_20220831 13,3696.689
1_20220831 14,3686.4055
1_20220831 15,3686.4055
1_20220831 16,3677.661
1_20220831 17,3207.6306
1_20220831 18,2906.1255
1_20220831 19,2822.471
1_20220831 20,2695.88
1_20220831 21,2042.663
1_20220831 22,1691.9625
1_20220831 23,1548.5594
2_20220825 00,1214.6246
2_20220825 01,1196.7975
2_20220825 02,1152.3164
2_20220825 03,1097.6299
2_20220825 04,1110.9484
2_20220825 05,1103.8693
2_20220825 06,1210.733
2_20220825 07,1470.2231
2_20220825 08,1789.5322
2_20220825 09,2063.2654
2_20220825 10,2182.9502
2_20220825 11,2187.308
2_20220825 12,2259.4604
2_20220825 13,2315.8928
2_20220825 14,2310.234
2_20220825 15,2220.0796
2_20220825 16,2301.4893
2_20220825 17,2217.8245
2_20220825 18,2102.0344
2_20220825 19,1967.58
2_20220825 20,1697.187
2_20220825 21,1459.265
2_20220825 22,1108.5643
2_20220825 23,1050.4011
2_20220826 00,1181.2458
2_20220826 01,1144.336
2_20220826 02,1099.8551
2_20220826 03,1096.6094
2_20220826 04,1096.6094
2_20220826 05,1089.5303
2_20220826 06,1196.3942
2_20220826 07,1459.7577
2_20220826 08,1738.1377
2_20220826 09,2060.7522
2_20220826 10,2152.1067
2_20220826 11,2270.2002
2_20220826 12,2358.4023
2_20220826 13,2311.034
2_20220826 14,2302.6917
2_20220826 15,2343.2466
2_20220826 16,2312.9775
2_20220826 17,2211.2483
2_20220826 18,2163.1333
2_20220826 19,2062.4695
2_20220826 20,1726.9382
2_20220826 21,1525.2778
2_20220826 22,1174.5771
2_20220826 23,1116.414
2_20220827 00,1202.1525
2_20220827 01,1184.3253
2_20220827 02,1065.555
2_20220827 03,1062.3093
2_20220827 04,1062.3093
2_20220827 05,1060.109
2_20220827 06,1230.5953
2_20220827 07,1479.967
2_20220827 08,1576.1687
