num_date_time,answer
1_20220825 00,2084.380800000002
1_20220825 01,2072.3328000000038
1_20220825 02,2013.7439999999974
1_20220825 03,1946.1839999999968
1_20220825 04,1847.8847999999978
1_20220825 05,2075.875199999998
1_20220825 06,2075.4143999999997
1_20220825 07,2188.799999999999
1_20220825 08,2854.3680000000036
1_20220825 09,3192.9072000000033
1_20220825 10,4314.878399999997
1_20220825 11,4435.367999999994
1_20220825 12,4486.8767999999955
1_20220825 13,4489.209600000001
1_20220825 14,4453.550399999999
1_20220825 15,4362.177599999998
1_20220825 16,4199.707199999999
1_20220825 17,3618.6480000000015
1_20220825 18,3061.876800000001
1_20220825 19,2692.5791999999988
1_20220825 20,2637.019200000003
1_20220825 21,1959.7919999999983
1_20220825 22,1468.7136000000005
1_20220825 23,2040.8207999999995
1_20220826 00,2086.454400000002
1_20220826 01,2064.5232000000037
1_20220826 02,2011.9583999999977
1_20220826 03,1941.3311999999967
1_20220826 04,1846.3535999999979
1_20220826 05,2075.4527999999987
1_20220826 06,2106.7296
1_20220826 07,2422.4400000000005
1_20220826 08,3099.4895999999962
1_20220826 09,3405.5328000000036
1_20220826 10,4471.507200000001
1_20220826 11,4621.137599999995
1_20220826 12,4636.540799999994
1_20220826 13,4647.734399999994
1_20220826 14,4655.169600000001
1_20220826 15,4569.7487999999985
1_20220826 16,4415.942400000001
1_20220826 17,3712.564800000001
1_20220826 18,3177.177599999998
1_20220826 19,3090.5663999999983
1_20220826 20,2859.4224000000004
1_20220826 21,1966.0511999999983
1_20220826 22,1531.1376
1_20220826 23,2065.7567999999997
1_20220827 00,2093.6160000000023
1_20220827 01,2060.6832000000036
1_20220827 02,2008.4687999999974
1_20220827 03,1938.8927999999964
1_20220827 04,1845.5711999999978
1_20220827 05,2079.2303999999986
1_20220827 06,2110.92
1_20220827 07,2512.468800000002
1_20220827 08,3148.334399999995
1_20220827 09,3594.556800000003
1_20220827 10,4371.748800000004
1_20220827 11,4724.716799999991
1_20220827 12,4864.161599999991
1_20220827 13,4905.134399999992
1_20220827 14,4888.4640000000045
1_20220827 15,4669.665600000007
1_20220827 16,4468.0992000000015
1_20220827 17,3964.5263999999984
1_20220827 18,3075.393599999998
1_20220827 19,2874.5903999999987
1_20220827 20,2607.3216000000034
1_20220827 21,2180.8319999999985
1_20220827 22,1557.5568000000005
1_20220827 23,2071.343999999999
1_20220828 00,2096.9856000000023
1_20220828 01,2056.4448000000034
1_20220828 02,2006.8031999999978
1_20220828 03,1935.436799999997
1_20220828 04,1843.4303999999981
1_20220828 05,2079.2303999999986
1_20220828 06,2110.4015999999992
